Timestamp(ms),Theta,Beta,FocusRatio
1780912575358,0.362742,0.14551,0.401139
1780912575374,0.362743,0.14551,0.401138
1780912575390,0.363677,0.145412,0.399838
1780912575407,0.362747,0.145511,0.401137
1780912575422,0.363679,0.145412,0.399837
1780912575437,0.362745,0.145511,0.401137
1780912575453,0.363675,0.145411,0.399838
1780912575470,0.363674,0.145411,0.399839
1780912575485,0.363674,0.145411,0.399839
1780912575501,0.362741,0.145509,0.401139
1780912575517,0.363674,0.145411,0.399839
1780912575534,0.362741,0.14551,0.401139
1780912575549,0.363674,0.145411,0.399839
1780912575565,0.363675,0.145411,0.399839
1780912575581,0.362743,0.14551,0.401138
1780912575597,0.362743,0.14551,0.401138
1780912575613,0.363675,0.145411,0.399839
1780912575630,0.363674,0.145411,0.399839
1780912575646,0.363674,0.145411,0.399839
1780912575661,0.363674,0.145411,0.399839
1780912575677,0.362741,0.14551,0.401139
1780912575693,0.363674,0.145411,0.399839
1780912575710,0.351196,0.15358,0.437306
1780912575724,0.351199,0.153581,0.437306
1780912575739,0.351203,0.153583,0.437305
1780912575756,0.352085,0.153365,0.435591
1780912575771,0.351204,0.153583,0.437305
1780912575788,0.352084,0.153365,0.435591
1780912575804,0.352083,0.153365,0.435591
1780912575819,0.35208,0.153363,0.435592
1780912575836,0.351199,0.153581,0.437305
1780912575851,0.351197,0.153581,0.437306
1780912575867,0.351198,0.153581,0.437306
1780912575882,0.352078,0.153362,0.435592
1780912575899,0.351197,0.15358,0.437306
1780912575915,0.35208,0.153363,0.435592
1780912575930,0.351199,0.153581,0.437306
1780912575946,0.352081,0.153364,0.435592
1780912575963,0.351201,0.153582,0.437305
1780912575979,0.351201,0.153582,0.437305
1780912575994,0.352082,0.153364,0.435592
1780912576010,0.3512,0.153582,0.437305
1780912576026,0.352081,0.153364,0.435592
1780912576043,0.350557,0.153896,0.439004
1780912576059,0.350558,0.153896,0.439004
1780912576075,0.352082,0.153364,0.435592
1780912576091,0.351201,0.153582,0.437305
1780912576106,0.352082,0.153364,0.435592
1780912576123,0.3512,0.153582,0.437305
1780912576138,0.352081,0.153364,0.435592
1780912576154,0.352081,0.153363,0.435592
1780912576169,0.3512,0.153581,0.437305
1780912576184,0.351201,0.153582,0.437305
1780912576200,0.352082,0.153364,0.435592
1780912576216,0.344216,0.167022,0.485224
1780912576231,0.344218,0.167023,0.485224
1780912576246,0.343336,0.167328,0.48736
1780912576262,0.344227,0.167028,0.485226
1780912576277,0.344227,0.167028,0.485226
1780912576293,0.344227,0.167028,0.485226
1780912576310,0.344227,0.167028,0.485226
1780912576325,0.344227,0.167028,0.485226
1780912576340,0.34334,0.16733,0.487361
1780912576356,0.344226,0.167027,0.485226
1780912576372,0.344229,0.167029,0.485226
1780912576388,0.34268,0.167735,0.48948
1780912576404,0.343349,0.167335,0.487362
1780912576420,0.343346,0.167334,0.487361
1780912576435,0.344224,0.167026,0.485225
1780912576451,0.344223,0.167026,0.485225
1780912576467,0.344223,0.167026,0.485225
1780912576482,0.344223,0.167026,0.485225
1780912576497,0.343338,0.16733,0.487361
1780912576513,0.344226,0.167027,0.485226
1780912576529,0.343341,0.167331,0.487361
1780912576545,0.343342,0.167331,0.487361
1780912576561,0.343342,0.167331,0.487361
1780912576576,0.344227,0.167028,0.485226
