Timestamp(ms),Theta,Beta,FocusRatio
1780912998889,0.370239,0.100153,0.27051
1780912998905,0.370413,0.100283,0.270734
1780912998921,0.370413,0.100283,0.270734
1780912998937,0.370239,0.100153,0.27051
1780912998953,0.370238,0.100155,0.270514
1780912998969,0.370238,0.100155,0.270514
1780912998985,0.370238,0.100155,0.270514
1780912999001,0.370238,0.100155,0.270514
1780912999017,0.370413,0.100285,0.270738
1780912999033,0.370238,0.100155,0.270514
1780912999049,0.370238,0.100155,0.270514
1780912999065,0.370413,0.100285,0.270738
1780912999081,0.370052,0.100021,0.27029
1780912999097,0.370413,0.100285,0.270738
1780912999113,0.370413,0.100285,0.270738
1780912999129,0.370413,0.100285,0.270738
1780912999145,0.370238,0.100155,0.270514
1780912999161,0.370413,0.100285,0.270738
1780912999176,0.370413,0.100285,0.270738
1780912999191,0.370413,0.100285,0.270738
1780912999207,0.370413,0.100285,0.270738
1780912999223,0.370052,0.100021,0.27029
1780912999239,0.370413,0.100285,0.270738
1780912999255,0.370238,0.100155,0.270514
1780912999271,0.370413,0.100285,0.270738
1780912999287,0.370413,0.100285,0.270738
1780912999303,0.370413,0.100285,0.270738
1780912999319,0.370413,0.100285,0.270738
1780912999335,0.370238,0.100155,0.270514
1780912999351,0.370413,0.100285,0.270738
1780912999367,0.370413,0.100285,0.270738
1780912999383,0.370413,0.100285,0.270738
1780912999399,0.370238,0.100155,0.270514
1780912999414,0.370238,0.100155,0.270514
1780912999429,0.370238,0.100155,0.270514
1780912999444,0.370238,0.100155,0.270514
1780912999459,0.370238,0.100156,0.270517
1780912999475,0.370413,0.100286,0.270741
1780912999490,0.370413,0.100286,0.270741
1780912999506,0.370238,0.100156,0.270517
1780912999521,0.370238,0.100156,0.270517
1780912999537,0.370238,0.100156,0.270517
1780912999552,0.370238,0.100156,0.270517
1780912999567,0.370238,0.100156,0.270517
1780912999583,0.370413,0.100286,0.270741
1780912999599,0.370052,0.100023,0.270293
1780912999615,0.370413,0.100286,0.270741
1780912999631,0.370238,0.100156,0.270517
1780912999647,0.370413,0.100286,0.270741
1780912999663,0.370413,0.100286,0.270741
1780912999679,0.370238,0.100156,0.270517
1780912999695,0.370238,0.100156,0.270517
1780912999711,0.370413,0.100286,0.270741
1780912999727,0.370052,0.100023,0.270293
1780912999743,0.370413,0.100286,0.270741
1780912999759,0.370238,0.100156,0.270517
1780912999775,0.370413,0.100286,0.270741
1780912999791,0.370238,0.100156,0.270517
1780912999807,0.370238,0.100156,0.270517
1780912999823,0.370413,0.100286,0.270741
1780912999839,0.370413,0.100286,0.270741
1780912999855,0.370238,0.100156,0.270517
1780912999871,0.370238,0.100156,0.270517
1780912999887,0.370238,0.100156,0.270517
1780912999903,0.370413,0.100286,0.270741
1780912999918,0.370238,0.100156,0.270517
1780912999934,0.370413,0.100286,0.270741
1780912999950,0.370413,0.100286,0.270741
1780912999966,0.370413,0.100286,0.270741
1780912999982,0.370238,0.100156,0.270517
1780912999998,0.370239,0.100157,0.270521
1780913000014,0.370413,0.100287,0.270744
1780913000029,0.370413,0.100287,0.270744
1780913000045,0.370239,0.100157,0.270521
1780913000061,0.370413,0.100287,0.270744
1780913000077,0.370239,0.100157,0.270521
1780913000093,0.369865,0.0998904,0.270072
1780913000109,0.370052,0.100024,0.270297
1780913000125,0.370239,0.100157,0.270521
1780913000140,0.370239,0.100157,0.270521
1780913000156,0.370413,0.100287,0.270744
1780913000172,0.370052,0.100024,0.270297
1780913000188,0.370239,0.100157,0.270521
