Timestamp(ms),Theta,Beta,FocusRatio
1780913585939,0.366834,0.100754,0.274659
1780913585955,0.36701,0.100888,0.274893
1780913585971,0.367169,0.101018,0.275127
1780913585987,0.367169,0.101018,0.275127
1780913586003,0.36701,0.100888,0.274893
1780913586019,0.367169,0.101018,0.275127
1780913586035,0.366834,0.100754,0.274659
1780913586051,0.36701,0.100888,0.274893
1780913586067,0.367169,0.101018,0.275127
1780913586083,0.36701,0.100888,0.274893
1780913586099,0.36701,0.100888,0.274893
1780913586115,0.36701,0.100888,0.274893
1780913586130,0.36701,0.100888,0.274893
1780913586145,0.367169,0.101018,0.275127
1780913586161,0.36701,0.100888,0.274893
1780913586177,0.367169,0.101018,0.275127
1780913586193,0.366651,0.100618,0.274425
1780913586209,0.36701,0.100888,0.274893
1780913586225,0.36701,0.100888,0.274893
1780913586241,0.366834,0.100754,0.274659
1780913586257,0.367169,0.101018,0.275127
1780913586273,0.367169,0.101018,0.275127
1780913586289,0.36701,0.100888,0.274893
1780913586305,0.36701,0.100888,0.274893
1780913586321,0.36701,0.100888,0.274893
1780913586337,0.36701,0.100888,0.274893
1780913586353,0.36701,0.100888,0.274893
1780913586369,0.367169,0.101018,0.275127
1780913586384,0.367169,0.101018,0.275127
1780913586399,0.36701,0.100888,0.274893
1780913586415,0.367169,0.101018,0.275127
1780913586431,0.366834,0.100754,0.274659
1780913586446,0.367169,0.101018,0.275127
1780913586461,0.36701,0.100888,0.274893
1780913586476,0.367158,0.101078,0.275299
1780913586491,0.366999,0.100949,0.275066
1780913586507,0.366999,0.100949,0.275066
1780913586523,0.366823,0.100815,0.274834
1780913586538,0.366999,0.100949,0.275066
1780913586554,0.367158,0.101078,0.275299
1780913586571,0.367158,0.101078,0.275299
1780913586586,0.366999,0.100949,0.275066
1780913586602,0.366999,0.100949,0.275066
1780913586618,0.367158,0.101078,0.275299
1780913586634,0.367158,0.101078,0.275299
1780913586650,0.367158,0.101078,0.275299
1780913586666,0.366823,0.100815,0.274834
1780913586682,0.367158,0.101078,0.275299
1780913586698,0.366999,0.100949,0.275066
1780913586714,0.367158,0.101078,0.275299
1780913586729,0.367158,0.101078,0.275299
1780913586744,0.367159,0.101078,0.275299
1780913586760,0.367159,0.101078,0.275299
1780913586776,0.367,0.100949,0.275066
1780913586791,0.366823,0.100815,0.274834
1780913586807,0.366999,0.100949,0.275066
1780913586823,0.367158,0.101078,0.275299
1780913586839,0.367158,0.101078,0.275299
1780913586855,0.366999,0.100949,0.275066
1780913586871,0.367158,0.101078,0.275299
1780913586887,0.366823,0.100815,0.274834
1780913586903,0.366999,0.100949,0.275066
1780913586919,0.367158,0.101078,0.275299
1780913586935,0.367158,0.101078,0.275299
1780913586951,0.367158,0.101078,0.275299
1780913586967,0.367158,0.101078,0.275299
1780913586983,0.36714,0.10113,0.275455
1780913586999,0.366981,0.101002,0.275223
1780913587015,0.36714,0.10113,0.275455
1780913587031,0.366981,0.101002,0.275223
1780913587046,0.36714,0.10113,0.275455
1780913587062,0.366981,0.101002,0.275223
1780913587078,0.36714,0.10113,0.275455
1780913587093,0.36714,0.10113,0.275455
1780913587108,0.36714,0.10113,0.275455
1780913587124,0.36714,0.10113,0.275455
1780913587140,0.36714,0.10113,0.275455
1780913587156,0.36714,0.10113,0.275455
1780913587172,0.366981,0.101002,0.275223
1780913587188,0.36714,0.10113,0.275455
1780913587204,0.366981,0.101002,0.275223
1780913587220,0.366981,0.101002,0.275223
1780913587236,0.36714,0.10113,0.275455
1780913587252,0.366981,0.101002,0.275223
1780913587268,0.36714,0.10113,0.275455
1780913587284,0.366981,0.101002,0.275223
1780913587300,0.366981,0.101002,0.275223
1780913587316,0.366981,0.101002,0.275223
1780913587332,0.366981,0.101002,0.275223
1780913587348,0.36714,0.10113,0.275455
1780913587364,0.366804,0.100868,0.274993
1780913587380,0.366981,0.101002,0.275223
1780913587396,0.366804,0.100868,0.274993
1780913587412,0.366981,0.101002,0.275223
1780913587427,0.366981,0.101002,0.275223
1780913587442,0.36714,0.10113,0.275455
1780913587457,0.366981,0.101002,0.275223
1780913587472,0.36714,0.10113,0.275455
1780913587487,0.366804,0.100868,0.274993
1780913587503,0.366966,0.101049,0.275364
